"Format","Type","Usage","Language","Connect Version"
"Shiny","Application","Interactive dashboards and reports","R","v 1.1"
"Plumber","API","API","R","v 1.5.2"
"Bookdown","Site","Online books and documentation","R","v 1.1"
"RMarkdown","Site","Projects, documents, websites and books","R","v 1.1"
"Dash","Application","Interactive dashboards and reports","Python","v 1.8.2"
"FastAPI","API","API","Python","2021.08.0"
"Streamlit","Application","Interactive dashboards and reports","Python","v 1.8.6"
"Jupyter Notebook","Site","Static code, formatted text, visualizations","Python","v 1.9.0"
"Bokeh","Application", "Interactive visualizations","Python","v 1.8.6"
"Flask","API","API","Python","v 1.8.2"
"Quarto","Site","Projects, documents, websites and books","R","2022.04.0"
"Pins","???","Data sharing","R","v 1.7.8"
"Shiny","Site","Interactive dashboards and reports","Python","2022.08.0"
"Quarto","Site","Projects, documents, websites and books","Python","2022.04.0"
"Pins","???","Data sharing","Python","v 1.7.8"
